,ts_code,trade_date,close,open,high,low,vol,amount
100,000001.SH,20110429,2911.511,2932.481,3067.456,2871.01,230986007900.0,2727674447786.0
99,000001.SH,20110531,2743.472,2911.51,2933.46,2689.206,178511442500.0,2038386907830.0
98,000001.SH,20110630,2762.076,2737.057,2774.365,2610.99,162695218300.0,1850370857824.0
97,000001.SH,20110729,2701.729,2767.834,2826.959,2677.119,197195744500.0,2301193503965.0
96,000001.SH,20110831,2567.34,2697.575,2712.888,2437.681,180197859500.0,1913013493621.0
95,000001.SH,20110930,2359.22,2569.799,2584.804,2348.217,119028500100.0,1210646311944.0
94,000001.SH,20111031,2468.25,2363.078,2483.759,2307.146,120177730800.0,1115670054532.0
93,000001.SH,20111130,2333.414,2450.331,2536.779,2319.44,164171964900.0,1623328172239.0
92,000001.SH,20111230,2199.417,2392.485,2423.559,2134.017,115451788500.0,1022673259694.0
91,000001.SH,20120131,2292.61,2211.995,2324.493,2132.626,104558051900.0,905508240942.0
90,000001.SH,20120229,2428.487,2288.066,2478.375,2263.342,195228381700.0,1771725442753.0
89,000001.SH,20120330,2262.788,2418.788,2476.216,2242.345,208945209600.0,2022506906300.0
88,000001.SH,20120427,2396.316,2258.031,2415.749,2251.393,163371539100.0,1468779269356.0
87,000001.SH,20120531,2372.234,2421.082,2453.731,2309.072,199123483400.0,1936082267539.0
86,000001.SH,20120629,2225.431,2373.224,2388.087,2188.716,127609355500.0,1213271061776.0
85,000001.SH,20120731,2103.634,2234.32,2244.832,2100.252,134908245700.0,1218154718736.0
84,000001.SH,20120831,2047.522,2101.723,2176.795,2032.537,136402186500.0,1145769779793.0
83,000001.SH,20120928,2086.169,2044.825,2145.003,1999.484,143278782600.0,1154914584077.0
82,000001.SH,20121031,2068.88,2084.849,2138.027,2053.092,123125158600.0,920182186952.0
81,000001.SH,20121130,1980.117,2070.02,2123.327,1959.334,124520339000.0,916117925579.0
80,000001.SH,20121231,2269.128,1977.254,2269.512,1949.457,224520648100.0,1716522226268.0
79,000001.SH,20130131,2385.422,2289.51,2391.821,2234.947,267192606600.0,2258990487869.0
78,000001.SH,20130228,2365.593,2377.414,2444.804,2289.887,182653469800.0,1627227238522.0
77,000001.SH,20130329,2236.621,2364.544,2369.649,2228.813,232595488600.0,2039830763335.0
76,000001.SH,20130426,2177.912,2229.46,2253.421,2165.784,149714367200.0,1285166744811.0
75,000001.SH,20130531,2300.595,2170.783,2334.335,2161.14,229489956600.0,2086778170414.0
74,000001.SH,20130628,1979.206,2300.209,2313.425,1849.653,155238404700.0,1330039133719.0
73,000001.SH,20130731,1993.799,1965.987,2092.868,1946.366,216496432200.0,1819695570679.0
72,000001.SH,20130830,2098.382,2000.818,2198.848,1997.058,248948605300.0,2068466154344.0
71,000001.SH,20130930,2174.665,2104.09,2270.268,2078.455,299950773000.0,2536614269517.0
70,000001.SH,20131031,2141.614,2171.904,2242.984,2093.197,237739575200.0,2097596619873.0
69,000001.SH,20131129,2220.504,2139.88,2234.387,2078.988,218787186000.0,1921697378387.0
68,000001.SH,20131231,2115.978,2203.122,2260.871,2068.543,207126396100.0,1797708356849.0
67,000001.SH,20140130,2033.083,2112.126,2113.11,1984.824,156358032700.0,1359830633284.0
66,000001.SH,20140228,2056.302,2022.323,2177.978,2014.381,205121833800.0,1792376135677.0
65,000001.SH,20140331,2033.306,2052.075,2079.551,1974.382,231297669100.0,1863529394089.0
64,000001.SH,20140430,2026.358,2031.005,2146.67,1997.64,206744785600.0,1676592253117.0
63,000001.SH,20140530,2039.212,2022.178,2061.06,1991.055,151246051500.0,1200023035161.0
62,000001.SH,20140630,2048.327,2039.196,2087.322,2010.53,159123147500.0,1311746400172.0
61,000001.SH,20140731,2201.562,2051.225,2202.126,2033.004,298095463900.0,2389624767146.0
60,000001.SH,20140829,2217.2,2194.17,2248.939,2180.597,334378011100.0,2789714096388.0
59,000001.SH,20140930,2363.87,2220.129,2365.49,2217.685,419103106900.0,3552143754824.0
58,000001.SH,20141031,2420.18,2368.58,2423.6,2279.84,369728692300.0,3128628466850.0
57,000001.SH,20141128,2682.84,2425.23,2683.18,2401.75,569133459600.0,4881325355604.0
56,000001.SH,20141231,3234.68,2691.73,3239.36,2665.69,1138352275200.0,11481330056827.0
55,000001.SH,20150130,3210.363,3258.63,3406.786,3095.066,703743382000.0,7834158644228.0
54,000001.SH,20150227,3310.303,3148.136,3324.546,3049.111,361559495000.0,4118308357730.0
53,000001.SH,20150331,3747.899,3332.721,3835.567,3198.37,944248496800.0,11265694603448.0
52,000001.SH,20150430,4441.655,3748.34,4572.391,3742.213,1267737273300.0,17358039246990.2
51,000001.SH,20150529,4611.744,4441.343,4986.503,4099.042,1066488457100.0,16332876035535.0
50,000001.SH,20150630,4277.222,4633.098,5178.191,3847.88,1287064577700.0,19999625437526.9
49,000001.SH,20150731,3663.726,4214.15,4317.053,3373.54,1319359565100.0,16111942030854.7
48,000001.SH,20150831,3205.986,3614.99,4006.337,2850.714,871925873000.0,10774444741504.4
47,000001.SH,20150930,3052.781,3157.832,3256.743,2983.535,536251260000.0,5626371818011.1
46,000001.SH,20151030,3382.561,3156.075,3457.517,3133.127,545257912100.0,6420219046044.2
45,000001.SH,20151130,3445.405,3337.578,3678.273,3302.184,706581438100.0,9220410214902.4
44,000001.SH,20151231,3539.182,3442.441,3684.567,3399.28,536818233000.0,7207430271379.0
43,000001.SH,20160129,2737.6,3536.589,3538.689,2638.302,400777169700.0,4338224413575.3
42,000001.SH,20160229,2687.979,2730.984,2933.964,2638.963,301329091700.0,3077309762748.8
41,000001.SH,20160331,3003.915,2688.38,3028.322,2668.757,508460013100.0,5342528301150.1
40,000001.SH,20160429,2938.324,2997.088,3097.165,2905.049,378696335600.0,4214743414719.9
39,000001.SH,20160531,2916.616,2940.392,3004.418,2780.763,285384826800.0,3155930788505.6
38,000001.SH,20160630,2929.606,2917.154,2945.942,2807.598,317593868400.0,3770003269563.6
37,000001.SH,20160729,2979.339,2931.802,3069.047,2922.52,401165924100.0,4703322480034.8
36,000001.SH,20160831,3085.491,2971.949,3140.441,2931.963,395621823000.0,4449908184990.4
35,000001.SH,20160930,3004.703,3083.961,3105.678,2969.132,279583218000.0,3140900610162.2
34,000001.SH,20161031,3100.492,3020.457,3137.034,3014.62,278313009700.0,3063402257071.4
33,000001.SH,20161130,3250.034,3101.664,3301.213,3094.103,520079940300.0,5853881370208.6
32,000001.SH,20161230,3103.637,3257.027,3279.714,3068.415,396593147000.0,4406217831795.8
31,000001.SH,20170126,3159.166,3105.309,3174.578,3044.291,275949066800.0,3052771803649.4
30,000001.SH,20170228,3241.733,3160.082,3264.082,3132.033,339804179800.0,3777257343763.1
29,000001.SH,20170331,3222.514,3240.073,3283.239,3193.157,411763442200.0,5088074589974.2
28,000001.SH,20170428,3154.658,3235.66,3295.187,3097.333,378945939200.0,4224360730790.7
27,000001.SH,20170531,3117.178,3147.228,3154.781,3016.531,322802119600.0,3606045039971.0
26,000001.SH,20170630,3192.427,3108.421,3193.461,3078.787,320465228700.0,3658665507395.0
25,000001.SH,20170731,3273.028,3191.998,3276.946,3139.504,418762365100.0,4506669384950.3
24,000001.SH,20170831,3360.81,3274.369,3376.648,3200.748,505986305100.0,5543980201022.0
23,000001.SH,20170929,3348.943,3365.991,3391.644,3332.599,423260969500.0,4940508458901.0
22,000001.SH,20171031,3393.342,3403.246,3421.103,3357.276,270673954000.0,3406039277370.0
21,000001.SH,20171130,3317.188,3393.968,3450.495,3300.781,398240047300.0,5136182591483.0
20,000001.SH,20171229,3307.172,3315.105,3324.516,3254.178,294122685300.0,3628130536862.0
19,000001.SH,20180131,3480.833,3314.031,3587.032,3314.031,479777123200.0,5772056284434.1
18,000001.SH,20180228,3259.408,3478.67,3495.093,3062.743,288895945200.0,3262254745964.6
17,000001.SH,20180330,3168.897,3235.089,3333.875,3091.458,370408412000.0,4396936871009.3
16,000001.SH,20180427,3082.232,3169.779,3220.845,3041.625,269898545100.0,3372116047972.9
15,000001.SH,20180531,3095.474,3087.409,3219.74,3041.0,297928909200.0,3810440501200.0
14,000001.SH,20180629,2847.418,3084.754,3128.715,2782.381,262397937200.0,3100449945780.0
13,000001.SH,20180731,2876.401,2841.58,2915.297,2691.021,304909513300.0,3259242876270.0
12,000001.SH,20180831,2725.25,2882.506,2897.4,2653.112,282138901300.0,2872972699430.0
11,000001.SH,20180928,2821.35,2716.404,2827.341,2644.296,214835895000.0,2152910424910.0
10,000001.SH,20181031,2602.783,2768.208,2771.938,2449.197,274024211800.0,2449081026761.2
9,000001.SH,20181130,2588.188,2617.033,2703.512,2555.322,405282329100.0,3352501661924.6
8,000001.SH,20181228,2493.896,2647.132,2666.078,2462.845,257511939600.0,2236020851029.2
7,000001.SH,20190131,2584.572,2497.881,2630.318,2440.907,338564070300.0,2804232423673.0
6,000001.SH,20190228,2940.954,2597.778,2997.488,2590.554,442180830800.0,3816144634586.0
5,000001.SH,20190329,3090.758,2954.402,3129.94,2930.835,869192544500.0,8300906449480.0
4,000001.SH,20190430,3078.339,3111.662,3288.453,3050.026,748713308400.0,7562326133210.1
3,000001.SH,20190531,2898.696,2984.727,2986.54,2833.036,446512659500.0,4317925215105.7
2,000001.SH,20190628,2978.878,2901.742,3012.826,2822.185,397467749700.0,3846260578723.7
1,000001.SH,20190731,2932.506,3024.624,3048.484,2879.69,371851528700.0,3992261571980.0
0,000001.SH,20190830,2886.237,2920.851,2927.342,2733.924,369448176300.0,4262760016981.0
