date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/4/16,3862.47,3869.16,3808.86,3789.61,99217768,-62.28,-1.61,3888.83,3879.984,3926.224,94313641.6,94829660.8,100452498.4
2018/4/17,3812.87,3822.63,3748.64,3745.44,90610792,-60.22,-1.58,3853.124,3864.998,3910.835,91201054.4,94139512.8,100738228.4
2018/4/18,3785.31,3789.66,3766.28,3708.11,106676704,17.64,0.47,3818.712,3852.934,3895.437,90149790.4,93682916,101996919.6
2018/4/19,3774.78,3824.03,3811.84,3767.8,99054056,45.56,1.21,3801.352,3847.87,3882.144,93420704,94074584,102919358.4
2018/4/20,3801.21,3815.44,3760.85,3750.1,99282920,-50.99,-1.34,3779.294,3838.469,3867.134,98968448,95129814.4,103003029.6
2018/4/23,3754.69,3787.4,3766.33,3735.18,90356296,5.48,0.15,3770.788,3829.809,3854.433,97196153.6,95754897.6,103066081.2
2018/4/24,3769.88,3854.43,3843.49,3769.88,114219520,77.16,2.05,3789.758,3821.441,3851.36,101917899.2,96559476.8,99773034.8
2018/4/25,3824.59,3838.69,3828.7,3817.03,78172608,-14.79,-0.39,3802.242,3810.477,3848.801,96217080,93183435.2,97924709.2
2018/4/26,3823.39,3828.71,3755.49,3744.89,87150640,-73.21,-1.91,3790.972,3796.162,3840.912,93836396.8,93628550.4,96597205.6
2018/4/27,3771.04,3776.98,3756.88,3714.64,89531728,1.39,0.04,3790.178,3784.736,3836.62,91886158.4,95427303.2,95999046.8
2018/5/2,3769.93,3787.3,3763.65,3744.55,83301032,6.77,0.18,3789.642,3780.215,3830.1,90475105.6,93835629.6,94332645.2
2018/5/3,3756.17,3797.53,3793,3732.37,93961112,29.35,0.78,3779.544,3784.651,3824.825,86423424,94170661.6,94155087.2
2018/5/4,3784.32,3801.52,3774.6,3770.94,71554288,-18.4,-0.48,3768.724,3785.483,3819.209,85099760,90658420,92170668
2018/5/7,3782.54,3834.59,3834.19,3776.03,87286192,59.59,1.58,3784.464,3787.718,3817.794,85126870.4,89481633.6,91778108.8
