,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
448,600036.SH,20171122,28.7981,29.8542,28.7981,29.1375,28.6283,0.5091999999999999,1.7787,975790.5,3034245.837
447,600036.SH,20171123,29.0432,29.3544,27.8174,28.2889,29.1375,-0.8485999999999976,-2.9124,890795.47,2709651.298
446,600036.SH,20171124,28.5246,29.0338,27.94,28.3737,28.2889,0.08479999999999777,0.2998,812637.87,2447316.075
445,600036.SH,20171127,28.1568,28.2417,27.2327,28.1757,28.3737,-0.1980000000000004,-0.6978,985411.0,2899282.314
444,600036.SH,20171128,27.7797,28.0343,27.2516,27.5251,28.1757,-0.6506000000000007,-2.3091,616270.96,1801453.86
443,600036.SH,20171129,27.6382,27.9965,27.1667,27.874,27.5251,0.34890000000000043,1.2676,580196.44,1699268.388
442,600036.SH,20171130,27.6476,27.7797,27.1007,27.3365,27.874,-0.5374999999999979,-1.9283,501838.02,1458283.316
441,600036.SH,20171201,27.3365,27.4496,26.733,26.9781,27.3365,-0.3583999999999996,-1.3111,675775.61,1936547.906
440,600036.SH,20171204,26.8084,27.4119,26.799,27.0819,26.9781,0.10379999999999967,0.3848,416075.47,1197481.935
439,600036.SH,20171205,27.0819,27.9022,27.0819,27.8079,27.0819,0.7259999999999991,2.6808,884529.2,2588555.823
438,600036.SH,20171206,27.6759,27.6759,26.8838,27.2799,27.8079,-0.5279999999999987,-1.8987,552655.42,1602158.0
437,600036.SH,20171207,27.063,27.4119,26.2615,26.6387,27.2799,-0.6412000000000013,-2.3504,652152.49,1846806.14
436,600036.SH,20171208,26.5161,26.9499,26.3181,26.8933,26.6387,0.25459999999999994,0.9558,521478.04,1476432.452
435,600036.SH,20171211,26.8178,27.3459,26.3652,27.2799,26.8933,0.3866000000000014,1.4375,797430.13,2266771.061
434,600036.SH,20171212,27.063,27.4119,26.7141,26.733,27.2799,-0.5469000000000008,-2.0048,551097.15,1579380.952
433,600036.SH,20171213,26.733,27.1384,26.3558,26.9687,26.733,0.2356999999999978,0.8817,536158.8,1517011.706
432,600036.SH,20171214,26.9027,27.3459,26.8273,26.997,26.9687,0.028300000000001546,0.1049,529391.87,1520833.399
431,600036.SH,20171215,26.9404,26.9687,26.4029,26.4595,26.997,-0.5375000000000014,-1.991,488065.21,1378078.334
430,600036.SH,20171218,26.4972,26.8838,26.4501,26.7141,26.4595,0.25459999999999994,0.9622,373894.97,1058596.842
429,600036.SH,20171219,26.8461,27.8174,26.7235,27.6854,26.7141,0.9713000000000029,3.6359,771232.0,2238122.922
428,600036.SH,20171220,27.7325,28.0531,27.4213,27.7891,27.6854,0.1036999999999999,0.3746,554399.85,1631568.151
427,600036.SH,20171221,27.6948,28.2889,27.5345,27.9494,27.7891,0.16029999999999944,0.5768,567380.26,1684770.426
426,600036.SH,20171222,27.8268,27.9494,27.4968,27.6194,27.9494,-0.33000000000000185,-1.1807,443138.47,1301573.567
425,600036.SH,20171225,27.5251,28.2606,27.4591,27.6194,27.6194,0.0,0.0,601075.75,1777969.13
424,600036.SH,20171226,27.5533,28.1003,27.5439,28.0154,27.6194,0.3960000000000008,1.4338,613999.8,1817411.822
423,600036.SH,20171227,27.8174,28.0814,26.9499,27.1196,28.0154,-0.8958000000000013,-3.1975,633932.14,1845505.286
422,600036.SH,20171228,27.1102,27.2705,26.8273,26.997,27.1196,-0.12259999999999849,-0.4521,421202.27,1209920.394
421,600036.SH,20171229,26.997,27.3836,26.9781,27.3648,26.997,0.367799999999999,1.3624,329042.89,950964.505
420,600036.SH,20180102,27.3648,28.3454,27.3648,27.9305,27.3648,0.5656999999999996,2.0673,675913.07,2009147.017
419,600036.SH,20180103,28.0437,28.7415,27.9494,28.2606,27.9305,0.3301000000000016,1.1819,718503.39,2161448.686
418,600036.SH,20180104,28.5529,28.6283,27.7231,27.9588,28.2606,-0.30180000000000007,-1.0679,516865.93,1540869.738
417,600036.SH,20180105,28.1663,28.5246,27.7797,28.3832,27.9588,0.42439999999999856,1.5179,479908.2,1435732.659
416,600036.SH,20180108,28.2134,28.336,27.6382,27.7891,28.3832,-0.5940999999999974,-2.0931,658578.9,1943542.23
415,600036.SH,20180109,27.8362,28.204,27.6759,28.072,27.7891,0.28289999999999793,1.018,398677.97,1179590.638
414,600036.SH,20180110,27.9683,29.0149,27.8928,28.7886,28.072,0.7165999999999997,2.5527,799282.86,2428313.433
413,600036.SH,20180111,28.7792,29.3733,28.666,29.1564,28.7886,0.36780000000000257,1.2776,540744.86,1668764.826
412,600036.SH,20180112,29.345,29.7787,29.2507,29.7127,29.1564,0.5563000000000002,1.908,487343.15,1528109.286
411,600036.SH,20180115,29.6844,30.552,29.5147,30.1182,29.7127,0.40549999999999997,1.3647,673146.01,2148679.981
410,600036.SH,20180116,29.9862,30.4388,29.741,30.0711,30.1182,-0.047100000000000364,-0.1564,652819.03,2080015.556
409,600036.SH,20180117,30.2691,31.2215,29.7033,29.8825,30.0711,-0.188600000000001,-0.6272,1026546.38,3328493.188
408,600036.SH,20180118,30.2691,30.882,30.2691,30.4765,29.8825,0.5940000000000012,1.9878,811039.71,2628880.183
407,600036.SH,20180119,30.7971,31.4478,30.3728,30.6085,30.4765,0.1319999999999979,0.4331,841328.9,2769050.365
406,600036.SH,20180122,30.3445,31.7212,30.3162,31.1932,30.6085,0.5847000000000016,1.9103,945729.55,3131534.666
405,600036.SH,20180123,31.3063,32.221,31.3063,32.1079,31.1932,0.9146999999999998,2.9324,868994.82,2940790.081
404,600036.SH,20180124,32.2964,33.3337,31.5421,31.9193,32.1079,-0.188600000000001,-0.5874,1176483.67,4066613.177
403,600036.SH,20180125,32.0701,32.0796,31.0234,31.5044,31.9193,-0.4148999999999994,-1.2998,789040.29,2631028.018
402,600036.SH,20180126,31.2969,32.3436,31.2969,31.5609,31.5044,0.05649999999999977,0.1793,706673.94,2386060.809
401,600036.SH,20180129,31.5892,32.1361,30.9386,31.0989,31.5609,-0.46199999999999974,-1.4638,684920.95,2299932.912
400,600036.SH,20180130,31.0234,31.2686,30.5614,30.7123,31.0989,-0.3866000000000014,-1.2431,365713.13,1196780.358
399,600036.SH,20180131,30.4954,32.0513,30.3822,32.0041,30.7123,1.291800000000002,4.2061,664794.2,2209958.335
398,600036.SH,20180201,32.1079,32.9282,31.9193,32.485,32.0041,0.48089999999999833,1.5026,692849.61,2378431.192
397,600036.SH,20180202,32.0984,32.6076,31.7684,32.5322,32.485,0.04720000000000368,0.1453,494732.07,1690289.981
396,600036.SH,20180205,31.9004,33.1074,31.8721,32.8999,32.5322,0.36769999999999925,1.1303,743285.91,2570911.068
395,600036.SH,20180206,32.155,32.7113,31.5798,32.6453,32.8999,-0.2546000000000035,-0.7739,1416913.37,4822983.754
394,600036.SH,20180207,32.6076,32.9377,30.2691,30.5425,32.6453,-2.1027999999999984,-6.4414,1502882.62,4982015.761
393,600036.SH,20180208,30.1276,30.5331,29.0715,29.4958,30.5425,-1.0467000000000013,-3.427,1069829.61,3355653.733
392,600036.SH,20180209,28.6,29.0527,26.9687,28.9584,29.4958,-0.5373999999999981,-1.822,1327539.69,3963446.85
391,600036.SH,20180212,28.666,28.8924,27.7231,28.336,28.9584,-0.6224000000000025,-2.1493,876966.16,2637441.867
390,600036.SH,20180213,28.6472,29.4864,28.6189,29.147,28.336,0.8109999999999999,2.8621,799267.73,2463683.749
389,600036.SH,20180214,29.1847,29.675,28.6849,29.5807,29.147,0.43370000000000175,1.488,334942.93,1042018.691
388,600036.SH,20180222,30.0616,30.3634,29.4016,29.7033,29.5807,0.12259999999999849,0.4145,677681.09,2144014.339
387,600036.SH,20180223,29.7033,30.2691,29.4393,29.9673,29.7033,0.2640000000000029,0.8888,515007.54,1626590.713
386,600036.SH,20180226,30.0711,30.5048,29.4487,29.7127,29.9673,-0.25459999999999994,-0.8496,718618.12,2272643.325
385,600036.SH,20180227,29.7693,29.8447,28.9018,29.1092,29.7127,-0.6035000000000004,-2.0311,715338.2,2216705.983
384,600036.SH,20180228,28.6472,28.9961,28.2983,28.5717,29.1092,-0.5375000000000014,-1.8465,532577.06,1612634.053
383,600036.SH,20180301,28.3171,29.0998,28.2983,28.666,28.5717,0.0943000000000005,0.33,402769.61,1226158.291
382,600036.SH,20180302,28.402,28.7226,28.3077,28.3171,28.666,-0.34890000000000043,-1.2171,338759.97,1021219.184
381,600036.SH,20180305,28.3832,28.8358,28.2134,28.4303,28.3171,0.11319999999999908,0.3998,336201.19,1013168.739
