,ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
1761,600036.SH,20120618,52344,5787.32,29787,3295.71,78553,8689.44,75530,8355.55,83986,9292.8,97763,10814.7,47779,5292.2,59582,6595.79,-28658,-3156.65
1760,600036.SH,20120619,45420,5010.29,36626,4047.28,88171,9735.98,73518,8123.92,118670,13105.47,115901,12803.46,81741,9021.68,107957,11898.76,-82197,-9044.75
1759,600036.SH,20120620,35738,3944.38,28365,3133.79,120115,13264.51,73388,8106.48,77869,8596.68,87224,9630.61,38968,4301.22,83713,9235.91,-5224,-562.43
1758,600036.SH,20120621,54736,5981.05,29704,3248.78,67875,7420.99,87245,9535.28,70756,7735.27,84586,9250.71,44133,4823.07,35965,3925.6,-54755,-5980.62
1757,600036.SH,20120625,27938,3071.21,59161,6507.27,135580,14910.2,150751,16579.06,91459,10051.74,167295,18397.16,289277,31824.15,167048,18373.82,19286,2139.04
1756,600036.SH,20120626,33698,3705.43,31976,3517.68,96462,10610.16,98260,10808.54,126980,13961.35,138958,15284.73,190109,20910.37,178056,19576.34,-11325,-1228.2
1755,600036.SH,20120627,40144,4379.27,22217,2424.93,91053,9934.19,117638,12838.37,87075,9503.14,86484,9440.14,76125,8309.46,68059,7422.63,-27063,-2941.4
1754,600036.SH,20120628,33312,3618.2,26545,2886.52,112919,12275.13,98299,10688.44,71317,7755.81,85905,9343.37,120817,13169.1,127616,13899.91,9103,1020.55
1753,600036.SH,20120629,39772,4326.86,35350,3847.81,101943,11087.67,93653,10192.61,121865,13260.68,107045,11642.89,117680,12820.78,145211,15812.68,96293,10516.58
1752,600036.SH,20120702,60111,6512.12,25706,2786.73,123849,13419.7,123736,13411.47,99351,10770.19,101721,11027.69,71040,7701.81,103186,11177.93,-69531,-7517.69
1751,600036.SH,20120703,35302,3845.12,36939,4032.24,75263,8201.14,83101,9065.47,110807,12086.75,102069,11132.43,94706,10349.21,93970,10252.08,12865,1420.55
1750,600036.SH,20120704,35989,3935.74,37016,4050.42,69318,7581.04,76709,8394.08,84110,9199.65,103372,11309.76,67856,7431.26,40175,4393.43,24958,2739.39
1749,600036.SH,20120705,39067,4238.5,30802,3346.52,115256,12509.14,86394,9385.64,95485,10369.25,92612,10057.19,45223,4910.73,85223,9238.27,-24485,-2639.08
1748,600036.SH,20120706,191278,20146.71,82043,8640.93,287408,30273.72,142704,15037.91,300441,31657.38,245991,25908.71,439476,46326.18,747863,78816.43,51669,5459.14
